Previous Coordinates;Current Coordinates;Current Road;Target Road;Google Maps Link;City
37.999055, 23.748807;37.998963, 23.748681;;;https://www.google.com/maps/dir/37.999055,23.748807/37.998963,23.748681;Athens
38.001222, 23.749307;38.001319, 23.749426;;;https://www.google.com/maps/dir/38.001222,23.749307/38.001319,23.749426;Athens
37.998555, 23.713421;37.998433, 23.713349;;;https://www.google.com/maps/dir/37.998555,23.713421/37.998433,23.713349;Athens
37.965546, 23.702398;37.965621, 23.702256;;;https://www.google.com/maps/dir/37.965546,23.702398/37.965621,23.702256;Athens
37.988759, 23.729776;37.988784, 23.729608;;;https://www.google.com/maps/dir/37.988759,23.729776/37.988784,23.729608;Athens
37.968427, 23.723698;37.968561, 23.723682;;;https://www.google.com/maps/dir/37.968427,23.723698/37.968561,23.723682;Athens
37.980952, 23.724235;37.980917, 23.724400;;;https://www.google.com/maps/dir/37.980952,23.724235/37.980917,23.724400;Athens
38.001833, 23.715737;38.001866, 23.715571;;;https://www.google.com/maps/dir/38.001833,23.715737/38.001866,23.715571;Athens
37.960198, 23.743244;37.960120, 23.743104;;;https://www.google.com/maps/dir/37.960198,23.743244/37.960120,23.743104;Athens
37.995416, 23.750181;37.995415, 23.750072;;;https://www.google.com/maps/dir/37.995416,23.750181/37.995415,23.750072;Athens
37.985568, 23.746007;37.985577, 23.745873;;;https://www.google.com/maps/dir/37.985568,23.746007/37.985577,23.745873;Athens
37.976444, 23.755469;37.976532, 23.755339;;;https://www.google.com/maps/dir/37.976444,23.755469/37.976532,23.755339;Athens
37.979454, 23.729687;37.979457, 23.729807;;;https://www.google.com/maps/dir/37.979454,23.729687/37.979457,23.729807;Athens
37.970045, 23.754998;37.970124, 23.755137;;;https://www.google.com/maps/dir/37.970045,23.754998/37.970124,23.755137;Athens
37.985715, 23.744671;37.985740, 23.744503;;;https://www.google.com/maps/dir/37.985715,23.744671/37.985740,23.744503;Athens
37.991088, 23.706193;37.991205, 23.706278;;;https://www.google.com/maps/dir/37.991088,23.706193/37.991205,23.706278;Athens
37.987336, 23.716593;37.987216, 23.716669;;;https://www.google.com/maps/dir/37.987336,23.716593/37.987216,23.716669;Athens
37.969414, 23.707714;37.969548, 23.707691;;;https://www.google.com/maps/dir/37.969414,23.707714/37.969548,23.707691;Athens
38.004983, 23.738562;38.005096, 23.738594;;;https://www.google.com/maps/dir/38.004983,23.738562/38.005096,23.738594;Athens
37.970780, 23.732924;37.970893, 23.733025;;;https://www.google.com/maps/dir/37.970780,23.732924/37.970893,23.733025;Athens
37.974080, 23.714799;37.974049, 23.714966;;;https://www.google.com/maps/dir/37.974080,23.714799/37.974049,23.714966;Athens
