Row;City;TargetRoad;TargetHighway;DetectedRoad;DetectedHighway;Result;DistanceMeters;Bearing;Note
1;Athens;Σποράδων;residential;Σποράδων;residential;PASS;40.9;280.7;
2;Athens;Δαμάρεως;tertiary;Δαμάρεως;tertiary;PASS;75.6;103.5;
3;Athens;Παλληναίων;residential;Παλληναίων;residential;PASS;51.1;23.0;
4;Athens;Φαλήρου;residential;Φαλήρου;residential;PASS;82.7;142.9;
5;Athens;Δράκου;residential;Γαριβάλδι;tertiary;FAIL;52.6;46.0;
6;Athens;Κωνου Βεντήρη;tertiary;Κωνσταντίνου Βεντήρη;tertiary;PASS;88.5;49.5;
7;Athens;Αυλώνος;residential;Αυλώνος;residential;PASS;56.9;276.8;
8;Athens;Γεωρ Κεδρηνού;tertiary;Κεδρηνού;tertiary;PASS;17.7;352.5;
9;Athens;Αδριάς;residential;Αντιτορπιλικού Αδριάς;residential;PASS;102.5;34.6;
10;Athens;Σπετσών;tertiary;Σπετσών;tertiary;PASS;46.2;127.1;
11;Athens;Λαγκαδά;residential;Λαγκαδά;residential;PASS;52.9;246.7;
12;Athens;Λεβέντη;residential;Λεβέντη;residential;PASS;66.2;309.2;
13;Athens;Αντιμαχίδου;residential;Τυμφρηστού;residential;FAIL;163.1;66.9;
14;Athens;Χαλκιδικής;residential;Χαλκιδικής;residential;PASS;40.8;117.2;
15;Athens;Αχαρνών;primary;Αχαρνών;primary;PASS;38.0;275.5;
16;Athens;Ιοκάστης;residential;Ιοκάστης;residential;PASS;39.6;277.9;
17;Athens;Καστριώτου;residential;Γεωργίου Καστριώτου;residential;PASS;99.0;13.9;
18;Athens;Φιλαδελφέως;residential;Φιλαδελφέως;residential;PASS;46.1;97.0;
19;Athens;Γιόλδαση;pedestrian;Γιολδάση;pedestrian;PASS;31.1;10.7;
20;Athens;Λελούδα;residential;Λελούδα;residential;PASS;84.2;308.1;
21;Athens;Θήρωνος;residential;Θήρωνος;residential;PASS;50.8;327.2;
22;Athens;Υμηττού;secondary;Υμηττού;secondary;PASS;40.5;145.4;
