Row;Previous Coordinates;Current Coordinates;Current Road;Target Road;Detected Road;Result;Iterations;AltUsed;City
1;"38.016959,24.419875";"38.016989,24.419658";Gerestou;Theoxari Kotsika;Theocharous Kotsika;PASS;0;YES;Karystos
2;"37.956799,23.698016";"37.956881,23.698128";Kremou;Filaretou;Filaretou;PASS;0;NO;Athens
3;"37.957598,23.697048";"37.957678,23.697065";Mystra;Akropoleos;Akropoleos;PASS;0;NO;Athens
4;"37.957836,23.696352";"37.957891,23.696286";Fornezi;P Tsaldari;Panagi Tsaldari;PASS;0;NO;Athens
5;"37.999473,23.744309";"37.999508,23.744258";Skopelou;Kaukasou;Kavkasou;PASS;0;NO;Athens
6;"37.999597,23.744134";"37.999635,23.744086";Skopelou;Kaukasou;Kavkasou;PASS;0;NO;Athens
7;"37.999703,23.743989";"37.999747,23.743934";Skopelou;Kaukasou;Kavkasou;PASS;0;NO;Athens
8;"37.988891,23.741949";"37.988988,23.741867";Vatatzi;Frantzi;Frantzi;PASS;0;NO;Athens
9;"37.989086,23.741556";"37.989059,23.741502";Frantzi;Komninwn;Komninon;PASS;0;NO;Athens
10;"38.009227,23.677565";"38.009143,23.677531";Mparouzi;Thiamidos;Thyamidos;PASS;0;NO;Athens
11;"38.008431,23.677677";"38.008545,23.677751";Kavafi;Thiamidos;Thyamidos;PASS;0;NO;Athens
12;"38.008428,23.676945";"38.00845,23.67688";Griva;Thlemaxou;Tilemachou;PASS;0;NO;Athens
13;"37.956906,23.699067";"37.957027,23.698934";Filaretou;Kremou;Kremou;PASS;0;NO;Athens
14;"38.044616,23.676898";"38.044726,23.676985";K Palama;25 Martiou;25is Martiou;PASS;0;NO;Athens
15;"38.046277,23.676648";"38.046444,23.676762";Souliou;Dwdekanisou;Dodekanisou;PASS;0;NO;Athens
16;"38.047573,23.676845";"38.047743,23.676959";Olimpias;Elli;Ellis;PASS;0;NO;Athens
17;"38.048403,23.678203";"38.048547,23.678317";Souliou;Maniakiou;Maniakiou;PASS;0;NO;Athens
18;"38.035455,23.686291";"38.035588,23.686377";Kolokotreno;Alamanas;Alamanas;PASS;0;NO;Athens
19;"38.0358,23.68576";"38.035686,23.685685";Ag Glikerias;Karaoli k Dimitriou;Karaoli kai Dimitriou;PASS;0;NO;Athens
20;"38.036324,23.684298";"38.036383,23.684379";Eptanisou;Kiafas;Kiafas;PASS;0;NO;Athens
21;"38.035804,23.68238";"38.035905,23.682249";Jathnou;Arxipelagous;Archipelagous;PASS;0;NO;Athens
22;"38.035183,23.681353";"38.035136,23.681401";Tsakalof;Stereas Elladas;Stereas Ellados;PASS;0;NO;Athens
23;"38.030905,23.681438";"38.030986,23.681343";Kronou;Mouswn;Mouson;PASS;0;NO;Athens
24;"38.031963,23.680601";"38.031779,23.680373";Iakinthou;Vasilikwn;Vasilikon;PASS;0;YES;Athens
25;"38.031544,23.680064";"38.031381,23.679852";Iakinthou;Vasilikwn;Vasilikon;PASS;0;NO;Athens
26;"38.031759,23.67738";"38.031844,23.677484";Antheon;Elaiwn;Elaion;PASS;0;NO;Athens
27;"38.03215,23.676661";"38.032278,23.676494";Mileas;Foinikwn;Foinikon;PASS;0;NO;Athens
28;"38.031898,23.676163";"38.031978,23.67607";Kipoupoleos;Foinikwn;Foinikon;PASS;0;NO;Athens
29;"38.032253,23.674978";"38.03236,23.674841";Peukwn;Athinas;Athinas;PASS;0;NO;Athens
30;"38.03126,23.67388";"38.031375,23.67374";Krinon;Athinas;Athinas;PASS;0;NO;Athens
31;"38.030801,23.67365";"38.030899,23.673539";Gardenias;Athinas;Athinas;PASS;0;NO;Athens
32;"38.03089,23.672265";"38.030977,23.672391";Athinas;Rodwn;Rodon;PASS;0;NO;Athens
33;"38.031098,23.671611";"38.031207,23.67174";Naidwn;Rodwn;Rodon;PASS;0;NO;Athens
34;"38.031917,23.671604";"38.032024,23.671478";Rodwn;Akakias;Akakias;PASS;0;NO;Athens
35;"37.988226,23.724572";"37.988183,23.724836";Konstadinou Palaiologou;Sonierou;Sonierou;PASS;0;NO;Athens
36;"37.989139,23.727275";"37.989198,23.72691";Averof;Acharnon;Acharnon;PASS;0;NO;Athens
37;"37.990383,23.728028";"37.990426,23.727739";Ipeirou;Filis;Fylis;PASS;0;NO;Athens
38;"37.990581,23.732561";"37.990566,23.732668";Metsovou;Rethimnou;Rethymnou;PASS;0;NO;Athens
39;"37.987631,23.737356";"37.987658,23.737329";Kalidromiou;Themistokleous;Zosimadon / Ersis;FAIL;0;NO;Athens
40;"37.98583,23.734096";"37.985862,23.734066";Tzavella;Themistokleous;Soultani / Solomoy;FAIL;0;NO;Athens
41;"37.982196,23.735299";"37.982146,23.735342";Solonos;Asklipiou;Massalias / UNKNOWN;FAIL;0;NO;Athens
