Row;Previous Coordinates;Current Coordinates;Target Road;Detected Road;Result;City
1;"37.998446,23.73781";"37.998472,23.737641";Σποράδων;Σποράδων;PASS;Athens
2;"37.96927,23.753751";"37.969235,23.753916";Δαμάρεως;Δαμάρεως;PASS;Athens
3;"37.970908,23.71064";"37.971032,23.710706";Παλληναίων;Παλληναίων;PASS;Athens
4;"37.962512,23.721466";"37.962405,23.72157";Φαλήρου;Φαλήρου;PASS;Athens
5;"37.966971,23.72325";"37.967064,23.723374";Δράκου;Γαριβάλδι;FAIL;Athens
6;"37.976572,23.749973";"37.976659,23.750105";Κωνου Βεντήρη;Κωνσταντίνου Βεντήρη;PASS;Athens
7;"38.00493,23.720483";"38.004946,23.720313";Αυλώνος;Αυλώνος;PASS;Athens
8;"37.990106,23.758798";"37.990229,23.758867";Γεωρ Κεδρηνού;Κεδρηνού;PASS;Athens
9;"37.990336,23.698455";"37.990447,23.698552";Αδριάς;Αντιτορπιλικού Αδριάς;PASS;Athens
10;"37.997766,23.737784";"37.997684,23.73792";Σπετσών;Σπετσών;PASS;Athens
11;"37.978157,23.703507";"37.97819,23.703341";Λαγκαδά;Λαγκαδά;PASS;Athens
12;"38.007339,23.711998";"38.007424,23.711865";Λεβέντη;Λεβέντη;PASS;Athens
13;"37.964515,23.727502";"37.96461,23.727624";Αντιμαχίδου;Τυμφρηστού;FAIL;Athens
14;"37.98204,23.710541";"37.981979,23.710694";Χαλκιδικής;Χαλκιδικής;PASS;Athens
15;"37.992911,23.727577";"37.992915,23.72746";Αχαρνών;Αχαρνών;PASS;Athens
16;"37.997515,23.715435";"37.997534,23.715265";Ιοκάστης;Ιοκάστης;PASS;Athens
17;"37.995076,23.751273";"37.995206,23.75132";Καστριώτου;Γεωργίου Καστριώτου;PASS;Athens
18;"38.007153,23.733543";"38.007136,23.733713";Φιλαδελφέως;Φιλαδελφέως;PASS;Athens
19;"37.956801,23.726435";"37.956934,23.726467";Γιόλδαση;Γιολδάση;PASS;Athens
20;"37.980935,23.702325";"37.981023,23.702195";Λελούδα;Λελούδα;PASS;Athens
21;"37.970102,23.752476";"37.970216,23.752384";Θήρωνος;Θήρωνος;PASS;Athens
22;"37.969557,23.752398";"37.969447,23.752498";Υμηττού;Υμηττού;PASS;Athens
23;"37.964161,23.718369";"37.96416,23.71854";Αμύνανδρου;Αμυνάνδρου;PASS;Athens
24;"37.992344,23.731531";"37.992477,23.731561";Χέυδεν;Χέυδεν;PASS;Athens
25;"37.989103,23.747033";"37.989073,23.7472";Νικ Γκύζη;Γύζη Νικολάου;FAIL;Athens
26;"37.98133,23.715132";"37.981212,23.715214";Λεωνίδου;Λεωνίδου;PASS;Athens
27;"37.983376,23.755248";"37.983419,23.755086";Π Κυριακού;Μακεδόνων;FAIL;Athens
28;"38.004738,23.740226";"38.00487,23.74026";Λέσβου;Λέσβου;PASS;Athens
29;"37.965055,23.741748";"37.965166,23.74165";Κυνίσκας;Κυνίσκας;PASS;Athens
30;"37.988557,23.746931";"37.988588,23.746765";Φαναριωτών;Φαναριωτών;PASS;Athens
31;"38.000353,23.711874";"38.000232,23.7118";Σιμπλικίου;Συμπλικίου;PASS;Athens
32;"37.986854,23.714149";"37.986916,23.713997";Παλαμηδίου;Παλαμηδίου;PASS;Athens
33;"38.004085,23.726732";"38.004113,23.726565";Λεωφ Ιωνίας;Ιωνίας;PASS;Athens
34;"37.979571,23.72689";"37.979703,23.726925";Ευριπίδου;Ευριπίδου;PASS;Athens
35;"37.969655,23.753917";"37.96973,23.754059";Λεωφ Βασιλέως Αλεξάνδρου;Βασιλέως Αλεξάνδρου;PASS;Athens
36;"37.980448,23.737722";"37.980375,23.737579";Σόλωνος;Σόλωνος;PASS;Athens
37;"37.97085,23.75043";"37.970928,23.750569";Φορμίωνος;Φορμίωνος;PASS;Athens
38;"37.972924,23.733059";"37.972793,23.733103";Κυδαθηναίων;Κυδαθηναίων;PASS;Athens
39;"38.003673,23.729117";"38.003702,23.72895";Αχαρνών;Αχαρνών;PASS;Athens
40;"37.983986,23.709988";"37.98386,23.709926";Φλιούντος;Φιλιούντος;PASS;Athens
41;"37.992766,23.749812";"37.992635,23.749771";Βεργοβίτσης;Βεργοβίτσης;PASS;Athens
42;"37.988273,23.740323";"37.988387,23.740232";Χρυσολωρά;Χρυσολωρά;PASS;Athens
43;"37.975754,23.74124";"37.975887,23.741268";Καψάλη;Καψάλη;PASS;Athens
44;"37.993126,23.713709";"37.993002,23.713777";Αλεξάνδρειας;Αλεξανδρείας;PASS;Athens
45;"37.982059,23.727503";"37.981926,23.727471";Κρατίνου;Κρατίνου;PASS;Athens
46;"37.956703,23.728571";"37.956734,23.728405";Αδελφών Εμμανουήλ;Αδελφών Εμμανουήλ;PASS;Athens
47;"37.995917,23.735068";"37.995891,23.735236";Σπετσών;Σπετσών;PASS;Athens
48;"37.998293,23.741784";"37.998399,23.741677";Κερκύρας;Κερκύρας;PASS;Athens
49;"37.961241,23.714574";"37.961118,23.714505";Σοφοκλέους;Σοφοκλέους;PASS;Athens
50;"37.990596,23.718791";"37.990614,23.718622";Αγίας Σοφίας;Αγίας Σοφίας;PASS;Athens
51;"37.995756,23.728618";"37.995755,23.728447";Αχαρνών;Αχαρνών;PASS;Athens
52;"37.988132,23.709652";"37.98806,23.709507";Σερρών;Σερρών;PASS;Athens
53;"37.967284,23.731682";"37.967238,23.731843";Καλλιρόης;Καλλιρόης;PASS;Athens
54;"37.958824,23.729687";"37.958729,23.729808";Καπετάν Βάρδα;Καπετάν Βάρδα;PASS;Athens
55;"37.96195,23.740354";"37.962028,23.740493";Γεωρ Καφαντάρη;Καφαντάρη;PASS;Athens
56;"37.985115,23.73647";"37.985041,23.736326";Βαλτετσίου;Βαλτετσίου;PASS;Athens
57;"37.965986,23.726825";"37.966069,23.72696";Μισαραλιώτου;Μισαραλιώτου;PASS;Athens
58;"37.993398,23.711052";"37.993278,23.711131";Αγγελόπουλων;Αγγελοπούλων;PASS;Athens
59;"38.006345,23.724866";"38.006212,23.724839";Πετροπουλάκη;Πετροπουλάκη;PASS;Athens
60;"38.008333,23.738866";"38.008467,23.738873";Πάρου;Πάρου;PASS;Athens
61;"37.958328,23.731265";"37.958288,23.731101";Αμβρόσιου Φραντζή;Αμβροσίου Φραντζή;PASS;Athens
62;"37.961903,23.711167";"37.96194,23.711331";Αριστογείτονος;Αριστογείτονος;PASS;Athens
63;"37.979535,23.714987";"37.979488,23.715148";Αγησιλάου;Αγησιλάου;PASS;Athens
64;"37.992067,23.705032";"37.99196,23.704928";Πολυκράτους;Πολυκράτους;PASS;Athens
65;"37.968763,23.723663";"37.968898,23.723651";Ροβέρτου Γκάλι;Ροβέρτου Γκάλλι;PASS;Athens
66;"37.985791,23.720377";"37.985874,23.720512";Πηνελώπης;Πηνελόπης;PASS;Athens
67;"37.991558,23.752175";"37.991585,23.752007";Πατριάρχου Ιερεμίου;UNKNOWN;FAIL;Athens
68;"38.000129,23.705461";"38.000228,23.705345";Κλεοβιδος;Κλεοβίδος;PASS;Athens
69;"37.985058,23.74192";"37.984984,23.741776";Ισαύρων;Πατριάρχου Σεργίου;FAIL;Athens
70;"37.969153,23.702513";"37.969066,23.702382";Ευαγγέλου Γιάνναρη;Ευαγγέλου Γιάνναρη;PASS;Athens
71;"37.970006,23.755753";"37.970038,23.755587";Φωκαίας;Φωκαίας;PASS;Athens
72;"37.996665,23.746402";"37.996691,23.746234";Τζουμαγιάς;Τζουμαγιάς;PASS;Athens
73;"37.991355,23.757555";"37.991324,23.757722";Στυλιανού Λαιου;Στ. Λάιου;PASS;Athens
74;"37.998875,23.701077";"37.999008,23.701101";Ακραγάντος;Ακράγαντος;PASS;Athens
75;"37.989592,23.712689";"37.989472,23.712768";Κλειούς;Κλειούς;PASS;Athens
76;"37.97519,23.751928";"37.975274,23.752063";Μιχαλακοπούλου;Μιχαλακοπούλου;PASS;Athens
77;"37.993561,23.759084";"37.993605,23.758922";Βερναρδάκη;Βερναρδάκη;PASS;Athens
78;"37.979134,23.707478";"37.979013,23.707403";Πρέσπας;Πρέσπας;PASS;Athens
79;"37.985213,23.733755";"37.985314,23.733642";Θεμιστοκλέους;Θεμιστοκλέους;PASS;Athens
80;"37.982917,23.757621";"37.982991,23.757763";Χατζηκώστα;Χατζηκώστα;PASS;Athens
81;"37.978382,23.70412";"37.97835,23.704286";Αμφιπόλεως;Αμφιπόλεως;PASS;Athens
82;"37.992108,23.723055";"37.992119,23.722885";Σάμου;Σάμου;PASS;Athens
83;"37.967188,23.73307";"37.967169,23.732901";Λεμπέση;Λεμπέση;PASS;Athens
84;"38.001687,23.715451";"38.001568,23.715371";Χειμάρρας;Χειμάρρας;PASS;Athens
85;"37.975663,23.696177";"37.975657,23.696348";Δημαράκη;Δημαράκη Γ.;PASS;Athens
86;"37.969692,23.747297";"37.969558,23.747276";Δούριδος;Δουρίδος;PASS;Athens
87;"37.991999,23.7258";"37.992005,23.725629";Μιχαήλ Βόδα;Μιχαήλ Βόδα;PASS;Athens
88;"37.986822,23.759931";"37.986854,23.759765";Πουλίου;Πουλίου;PASS;Athens
89;"37.977333,23.754204";"37.977421,23.754073";Άρνης;Άρνης;PASS;Athens
90;"38.001662,23.73272";"38.001634,23.732887";Πατησίων;Πατησίων;PASS;Athens
91;"37.998546,23.746952";"37.998639,23.747076";Μπερόβου;Μπερόβου;PASS;Athens
92;"37.974858,23.718534";"37.974838,23.718704";Ηρακλειδών;Ηρακλειδών;PASS;Athens
93;"38.000028,23.707612";"38.000124,23.707733";Εριβοίας;Εριβοίας;PASS;Athens
94;"37.961091,23.720424";"37.96105,23.720261";Αυτοκράτορος Νικολάου;Αυτοκράτορος Νικολάου;PASS;Athens
95;"38.002587,23.736309";"38.002612,23.73614";Ιωάννου Δροσοπούλου;Ιωάννου Δροσοπούλου;PASS;Athens
96;"37.985041,23.753095";"37.985013,23.753263";Τιμολέοντος Φιλημόνος;Τιμoλέοντος Φιλήμονος;PASS;Athens
97;"37.993439,23.757872";"37.993412,23.758039";Μεγ Σπηλαίου;Τριφυλίας;FAIL;Athens
98;"37.966334,23.704273";"37.966391,23.704118";Πανδώρου;Πανδώρου;PASS;Athens
99;"37.963006,23.707694";"37.962999,23.707523";Κρέμου;Κρέμου;PASS;Athens
100;"37.963395,23.709476";"37.9634,23.709646";Αργυρουπόλεως;Αργυρουπόλεως;PASS;Athens
101;"37.988689,23.722026";"37.98866,23.722193";Ψαρών;Ψαρών;PASS;Athens
102;"37.973075,23.744843";"37.973163,23.744972";Ριζάρη;Ριζάρη;PASS;Athens
103;"37.980879,23.713327";"37.98076,23.713408";Λεωνίδου;Λεωνίδου;PASS;Athens
104;"37.992045,23.757757";"37.992015,23.757924";Στυλιανού Λαιου;Στ. Λάιου;PASS;Athens
105;"37.959395,23.724835";"37.959321,23.724979";Μήτρου Σαρκουδίνου;Μήτρου Σαρκουδίνου;PASS;Athens
106;"38.008675,23.725115";"38.008703,23.724948";Γεράκη;Γεράκη;PASS;Athens
107;"37.976137,23.718299";"37.976166,23.718132";Ακταίου;Ακταίου;PASS;Athens
108;"37.982188,23.740793";"37.982304,23.74088";Πατριάρχου Φωτίου;UNKNOWN;FAIL;Athens
109;"37.981552,23.725422";"37.981685,23.725455";Αναξαγόρα;Αναξαγόρα;PASS;Athens
110;"37.977328,23.706112";"37.977363,23.705946";Στρυμώνος;Στρυμώνος;PASS;Athens
111;"37.979241,23.704199";"37.979369,23.704253";Αγίου Πολυκάρπου;Αγίου Πολυκάρπου;PASS;Athens
112;"37.970809,23.748282";"37.970943,23.748301";Αμασείας;Αμασείας;PASS;Athens
113;"37.968258,23.74445";"37.968392,23.74447";Ηλιοδώρου;Ηλιοδώρου;PASS;Athens
114;"37.988308,23.714287";"37.988206,23.714175";Δημοσθένους;Δημοσθένους;PASS;Athens
115;"37.960325,23.71364";"37.960237,23.713511";Καλυψούς;Καλυψούς;PASS;Athens
116;"37.981557,23.712875";"37.981438,23.712954";Μεγ Αλεξάνδρου;Μεγάλου Αλεξάνδρου;PASS;Athens
117;"37.999211,23.73862";"37.999094,23.738534";Σπετσοπούλας;Σπετσοπούλας;PASS;Athens
