Row;Previous Coordinates;Current Coordinates;Target Road;Detected Road;Result;City
1;"35.336922,25.164826";"35.337021,25.164714";Λ Ικάρου;Ικάρου;PASS;Heraklion
2;"35.340867,25.159953";"35.340736,25.159993";Μούγλων;Μουγλών;PASS;Heraklion
3;"35.328561,25.156612";"35.328569,25.156777";Παξών;Παξών;PASS;Heraklion
4;"35.330774,25.12459";"35.330678,25.124706";Νικολαίδου Στεφ.;Νικολαίδου Στεφ.;PASS;Heraklion
5;"35.338822,25.151024";"35.338691,25.150992";Λυκάστου;Λυκάστου;PASS;Heraklion
6;"35.339805,25.131427";"35.339883,25.131291";Οδός 1770;Οδός 1770;PASS;Heraklion
7;"35.342005,25.159849";"35.342037,25.16001";Πυθέως;Πυθέως;PASS;Heraklion
8;"35.341597,25.127328";"35.34155,25.127483";Στυλιανού κ Νικόλαου Γιαμαλάκη;Χάνδακος;FAIL;Heraklion
9;"35.336834,25.131214";"35.336747,25.13134";Μονοφατσίου;Μονοφατσίου;PASS;Heraklion
10;"35.342609,25.159408";"35.342478,25.159444";Κεράμου;Κεράμου;PASS;Heraklion
11;"35.33265,25.137539";"35.33278,25.137494";Αθανάσιου Διάκου;Διάκου Αθανασίου;PASS;Heraklion
12;"35.336133,25.141854";"35.335998,25.141852";Ισίδωρου;Ισίδωρου;PASS;Heraklion
13;"35.336356,25.143956";"35.336334,25.143793";Πολυβίου;Πολυβίου;PASS;Heraklion
14;"35.342273,25.151364";"35.342237,25.151205";Νάξου;UNKNOWN;FAIL;Heraklion
15;"35.336655,25.129564";"35.336531,25.12963";Τομπάζη;Τομπάζη;PASS;Heraklion
16;"35.32614,25.143292";"35.326097,25.143449";Πιτσουλάκη;Πιτσουλάκη Ν.;PASS;Heraklion
17;"35.329246,25.14171";"35.329135,25.141803";Μακεδονίας;Μακεδονίας;PASS;Heraklion
18;"35.333947,25.140937";"35.334003,25.140787";Ρόδων;Ρόδων;PASS;Heraklion
19;"35.32235,25.151249";"35.322484,25.15127";Λούη Σπ.;Λούη Σπ.;PASS;Heraklion
20;"35.326439,25.138775";"35.326561,25.138706";Μονής Πρέβελης;Μονής Πρεβέλης;PASS;Heraklion
21;"35.339111,25.153433";"35.338981,25.153476";Ξενοφώντος;Ξενοφώντος;PASS;Heraklion
22;"35.336389,25.163822";"35.336392,25.163656";Αναπαύσεως;Αναπαύσεως;PASS;Heraklion
23;"35.333546,25.151142";"35.333675,25.151092";Μονής Στροβιλαίας;Στροβιλαίας Μονής;PASS;Heraklion
24;"35.336935,25.135307";"35.337055,25.135233";Ρούσου Χούρδου;Ρούσου Χούρδου;PASS;Heraklion
25;"35.328412,25.148694";"35.328277,25.148687";Σίβα;Σίβα;PASS;Heraklion
26;"35.332661,25.145487";"35.332527,25.145468";Γερωνυμάκη;Γερονυμάκη;PASS;Heraklion
27;"35.333418,25.142265";"35.333322,25.142382";Μονής Γουβερνέτου;Μονής Γουβερνέτου;PASS;Heraklion
28;"35.326496,25.136361";"35.32646,25.13652";Μήνα Γεωργιάδου;Γεωργιάδου Μηνά;PASS;Heraklion
29;"35.328699,25.13796";"35.328833,25.137976";Χρυσοστόμου Σμύρνης;Χρυσοστόμου Σμύρνης;PASS;Heraklion
30;"35.336247,25.162559";"35.336113,25.162576";Αναγεννήσεως;Αναγεννήσεως;PASS;Heraklion
31;"35.322276,25.150673";"35.322155,25.1506";Ιώνος;Πικροδάφνης;FAIL;Heraklion
32;"35.335016,25.164855";"35.33489,25.164796";Ορακίων;UNKNOWN;FAIL;Heraklion
33;"35.331905,25.154621";"35.332032,25.154565";Ειρήνης Αθηναίας;Μέλισσας;FAIL;Heraklion
34;"35.339187,25.157628";"35.339318,25.157587";Μούγλων;Μουγλών;PASS;Heraklion
35;"35.338322,25.158617";"35.33819,25.158655";Δημοκρατίας;Δημοκρατίας;PASS;Heraklion
36;"35.335039,25.142808";"35.335173,25.142828";Πολυβίου;Πολυβίου;PASS;Heraklion
37;"35.332104,25.132545";"35.332201,25.13266";Παπανδρέου Ανδρ.;Παπανδρέου Ανδρ.;PASS;Heraklion
38;"35.332587,25.127199";"35.332668,25.127331";Ισμήνης;Θενών;FAIL;Heraklion
39;"35.333841,25.130459";"35.333903,25.130312";Ρωμανού;Ρωμανού Γεωρ.;PASS;Heraklion
40;"35.331198,25.150192";"35.331328,25.150235";Φιλικής Εταιρίας;Φιλικής Εταιρείας;PASS;Heraklion
41;"35.333274,25.146206";"35.333276,25.146041";Μεγ Κωνσταντίνου;Μεγάλου Κωνσταντίνου;PASS;Heraklion
42;"35.340437,25.151188";"35.340514,25.151052";Λιλής Ζωγράφου;Ζωγράφου Λιλής;PASS;Heraklion
43;"35.326432,25.135033";"35.326563,25.135072";Κρήνης;Κρήνης;PASS;Heraklion
44;"35.334454,25.159835";"35.334584,25.159791";Αναγεννήσεως;Αναγεννήσεως;PASS;Heraklion
45;"35.320389,25.144154";"35.320447,25.144303";Παρ Κνωσσού;Ιδαία 1η Πάροδος;FAIL;Heraklion
46;"35.33191,25.127066";"35.33204,25.127021";Κονδυλάκη;Κονδυλάκη Ιωάν.;PASS;Heraklion
47;"35.337213,25.158928";"35.337344,25.158885";Αγίου Τρύφωνος;Αγίου Τρύφωνος;PASS;Heraklion
48;"35.335722,25.137618";"35.335855,25.137588";Λ Δημοκρατίας;Τριφύτσου Αντ.;FAIL;Heraklion
49;"35.329015,25.14952";"35.328947,25.149663";Αγίας Φιλοθέης;Αγίας Φιλοθέης;PASS;Heraklion
50;"35.328918,25.137882";"35.328784,25.137862";Λεωφ Κνωσού;Μαργουνίου Μαξίμου;FAIL;Heraklion
51;"35.342888,25.153032";"35.342828,25.152884";Νάξου;UNKNOWN;FAIL;Heraklion
52;"35.339147,25.121665";"35.339262,25.121751";Τυρταίου;Τυρταίου;PASS;Heraklion
53;"35.337472,25.142414";"35.337339,25.142438";Ίμβρου;Ίμβρου;PASS;Heraklion
54;"35.338286,25.155691";"35.338412,25.155631";Εμμανουήλ Κωνσταντινίδη;Εμμανουήλ Κωνσταντινίδη;PASS;Heraklion
55;"35.331603,25.132826";"35.331696,25.132707";Γεωργιάδου Γεωρ.;Γεωργιάδου Γεωρ.;PASS;Heraklion
56;"35.322335,25.134036";"35.322469,25.134059";Μπετεινάκη;Βρυούλων;FAIL;Heraklion
57;"35.335362,25.148755";"35.335232,25.148715";Κατρέ;Ξάνθου Εμμ.;FAIL;Heraklion
58;"35.336582,25.140052";"35.336706,25.139987";Μπουρλότου Στ.;Μπουρλότου Στ.;PASS;Heraklion
59;"35.330298,25.150034";"35.330224,25.150173";Αγίας Φιλοθέης;Αγίας Φιλοθέης;PASS;Heraklion
60;"35.334012,25.131467";"35.334021,25.131302";Γιαννίκου;Γιαννίκου;PASS;Heraklion
