Row;Previous Coordinates;Current Coordinates;Target Road;Detected Road;Result;City
1;"39.638653,22.405762";"39.638558,22.405638";Ταμπάρα;Αχιλλέα Ταμπάρα;PASS;Larissa
2;"39.635771,22.403332";"39.635668,22.403446";Άγνωστου Στρατιώτη;Αγνώστου Στρατιώτη;PASS;Larissa
3;"39.641599,22.408288";"39.641734,22.408288";Ηρακλείδου;Ηρακλείδου;PASS;Larissa
4;"39.638734,22.431705";"39.638868,22.431686";Κάλβου;Ανδρέα Κάλβου;PASS;Larissa
5;"39.622426,22.418597";"39.622397,22.418426";Ακρίτα Διγενή;Διγενή Ακρίτα;PASS;Larissa
6;"39.633898,22.413178";"39.633763,22.413179";Αγίου Νικολάου;Αγίου Νικολάου;PASS;Larissa
7;"39.635857,22.431716";"39.635985,22.431772";Κουτσινά;Κούτσινα;PASS;Larissa
8;"39.625771,22.435692";"39.625847,22.435547";Παστέρ;Παστέρ;PASS;Larissa
9;"39.624551,22.408012";"39.624679,22.408069";Λευκοθέας;Λευκοθέας;PASS;Larissa
10;"39.648463,22.433596";"39.648343,22.433675";Εκάβης;Γοργία;FAIL;Larissa
11;"39.62182,22.408699";"39.621893,22.408552";Καρδίτσης;Καρδίτσης;PASS;Larissa
12;"39.635622,22.426286";"39.635549,22.426434";Γεωργ Σεφέρη;Γεωργίου Σεφέρη;PASS;Larissa
13;"39.642965,22.407634";"39.6431,22.407636";Δημόκριτου;Δημοκρίτου;PASS;Larissa
14;"39.640391,22.412944";"39.640491,22.412825";Κενταύρων;UNKNOWN;FAIL;Larissa
15;"39.643653,22.406614";"39.643518,22.406624";Αγαθίου;Αγαθίου;PASS;Larissa
16;"39.635989,22.407171";"39.636,22.406996";Πρασίδου;Πρασίδου;PASS;Larissa
17;"39.633578,22.41439";"39.63361,22.41456";Παπαναστασίου;Αλέξανδρου Παπαναστασίου;PASS;Larissa
18;"39.637206,22.420105";"39.637209,22.41993";Παναγούλη;Αλεξάνδρου Παναγούλη;PASS;Larissa
19;"39.634431,22.419371";"39.634467,22.41954";Ιάσονος;Ιάσονος;PASS;Larissa
20;"39.632727,22.442241";"39.632862,22.442241";Καστελλίου;Καστελλίου;PASS;Larissa
21;"39.625315,22.436506";"39.625396,22.436365";Καλαμά;Καλαμά;PASS;Larissa
22;"39.638292,22.422925";"39.638159,22.422896";23ης Οκτωβρίου;23ης Οκτωβρίου;PASS;Larissa
23;"39.635969,22.437818";"39.635902,22.43797";Στρατονίκειας;Στρατονικείας;PASS;Larissa
24;"39.633647,22.415736";"39.63365,22.415911";Μαρκ Μπότσαρη;Μάρκου Μπότσαρη;PASS;Larissa
25;"39.628435,22.432983";"39.628561,22.433043";Δροσιάς;Δροσιάς;PASS;Larissa
26;"39.638675,22.403308";"39.638703,22.403137";Λεκατσά;Λεκατσά;PASS;Larissa
27;"39.629706,22.410909";"39.629834,22.410965";Μυτιλήνης;Μυτιλήνης;PASS;Larissa
28;"39.632253,22.424631";"39.632205,22.424467";Ανδρέα Μιαούλη;Ανδρέα Μιαούλη;PASS;Larissa
