Row;Previous Coordinates;Current Coordinates;Target Road;Detected Road;Result;City
1;"38.236691,21.733012";"38.23673,21.733177";Παναχαικού;Παναχαϊκού;PASS;Patras
2;"38.241072,21.747843";"38.241003,21.74799";Ευρυπήλου;Στρατηγού Παναγόπουλου;FAIL;Patras
3;"38.247767,21.733611";"38.247863,21.733732";Ερμού;Ερμού;PASS;Patras
4;"38.254715,21.74506";"38.254668,21.744899";Κιλκίς;Κιλκίς;PASS;Patras
5;"38.237227,21.744713";"38.237231,21.744885";Καλαβρύτων;Καλαβρύτων;PASS;Patras
6;"38.233535,21.72523";"38.233523,21.725401";Σουνίου;Μαιζώνος;FAIL;Patras
7;"38.248377,21.734379";"38.248472,21.7345";Αγίου Νικολάου;Κολοκοτρώνη;FAIL;Patras
8;"38.235495,21.7285";"38.235361,21.728482";Κορυτσάς;Κορυτσάς;PASS;Patras
9;"38.250838,21.742887";"38.25074,21.742769";Μανιακίου;Μανιακίου;PASS;Patras
10;"38.230607,21.728657";"38.230742,21.728672";Καραμανδάνη;Καραμανδάνη;PASS;Patras
11;"38.242114,21.731618";"38.242019,21.731495";Τριών Ναυάρχων;Τριών Ναυάρχων;PASS;Patras
12;"38.255045,21.747414";"38.254927,21.74733";Κλ1;ΚΛ1;PASS;Patras
13;"38.235151,21.751494";"38.23504,21.751591";Υπατίας;Υπατίας;PASS;Patras
14;"38.238964,21.747486";"38.239028,21.747334";Ευπαλάμου;Ευπαλάμου;PASS;Patras
15;"38.256233,21.742459";"38.25619,21.742622";Κωνσταντινουπόλεως;Κωνσταντινουπόλεως;PASS;Patras
16;"38.25036,21.738029";"38.250458,21.73791";Αγίου Ανδρέου;Αγίου Ανδρέου;PASS;Patras
17;"38.241768,21.728738";"38.241673,21.728615";Παπαφλέσσα;Παπαφλέσσα;PASS;Patras
18;"38.235092,21.734336";"38.235108,21.734507";Βύρωνος;Βύρωνος;PASS;Patras
19;"38.243562,21.731914";"38.243659,21.731794";Μαιζώνος;Μαιζώνος;PASS;Patras
20;"38.246436,21.731056";"38.246318,21.73114";Γαλαξειδίου;Γαλαξειδίου;PASS;Patras
21;"38.239446,21.746885";"38.239564,21.746966";12ου Συντάγματος;12ου Συντάγματος;PASS;Patras
22;"38.249352,21.734843";"38.24926,21.734718";Ερμού;Ερμού;PASS;Patras
23;"38.241565,21.747063";"38.241699,21.747056";Παυλόπουλου;Π. Παυλόπουλου;PASS;Patras
