Row;Previous Coordinates;Current Coordinates;Target Road;Detected Road;Result;City
1;"40.640926,22.936987";"40.640792,22.936975";Καλλινίκου;Καλλινίκου;PASS;Thessaloniki
2;"40.639607,22.943961";"40.639731,22.944022";Αγ Δημητρίου;Αγίου Δημητρίου;PASS;Thessaloniki
3;"40.65693,22.93741";"40.656932,22.937233";Μαδύτου;Μαδύτου;PASS;Thessaloniki
4;"40.643225,22.964329";"40.643185,22.964159";Αμαλιάδος;Αμαλιάδος;PASS;Thessaloniki
5;"40.657258,22.960773";"40.657174,22.960913";Στρ Δουμπιώτη;Στρατηγού Δουμπιώτου;PASS;Thessaloniki
6;"40.641013,22.964313";"40.641076,22.96447";Μπιζανίου;Μπιζάνιου;PASS;Thessaloniki
7;"40.659755,22.949808";"40.659848,22.949935";Παπαστεφάνου Γιαννουλίδη;Παπαστεφάνου-Γιαννουλίδη;PASS;Thessaloniki
8;"40.656928,22.929246";"40.656882,22.929413";Θησέως;Θησέως;PASS;Thessaloniki
9;"40.662268,22.947583";"40.662134,22.947599";Αγίου Παντελεήμονος;Αγίου Παντελεήμονα;PASS;Thessaloniki
10;"40.657124,22.928777";"40.657167,22.928609";Θεμιστοκλή Σοφούλη;Θεμιστοκλή Σοφούλη;PASS;Thessaloniki
11;"40.644217,22.954267";"40.644271,22.954105";Ίωνος Δραγούμη;Ίωνος Δραγούμη;PASS;Thessaloniki
12;"40.656245,22.951848";"40.656117,22.951907";Ελπίδος;Ελπίδος;PASS;Thessaloniki
13;"40.643,22.930346";"40.643076,22.930199";Αναγεννήσεως;Αναγεννήσεως;PASS;Thessaloniki
14;"40.630993,22.943137";"40.631079,22.943001";Καρόλου Ντηλ;Καρόλου Ντηλ;PASS;Thessaloniki
15;"40.642669,22.943578";"40.642628,22.943747";Τσαμαδού;Τσαμαδού;PASS;Thessaloniki
16;"40.649675,22.929293";"40.64969,22.929116";Καλλιθέας;Καλλιθέας;PASS;Thessaloniki
17;"40.644678,22.93383";"40.644784,22.933721";Δημητρίου Γαλανάκη;Δημητρίου Γαλανάκη;PASS;Thessaloniki
18;"40.655161,22.95862";"40.655156,22.958442";Μεγ Αλεξάνδρου;Μεγάλου Αλεξάνδρου;PASS;Thessaloniki
19;"40.646008,22.930328";"40.646084,22.930182";Βερατίου;Βερατίου;PASS;Thessaloniki
20;"40.660843,22.949436";"40.660714,22.949488";Ευκλείδη;Ευκλείδη;PASS;Thessaloniki
21;"40.628091,22.951877";"40.627979,22.951779";Τσιμισκή;Ιωάννη Τσιμισκή;PASS;Thessaloniki
22;"40.647625,22.941028";"40.647623,22.941205";Σοφοκλέους;Σοφοκλέους;PASS;Thessaloniki
