Row;Previous Coordinates;Current Coordinates;Target Road;Detected Road;Result;City
1;"39.373795,22.944077";"39.373733,22.943922";Βουλγαροκτόνου;Βουλγαροκτόνου;PASS;Volos
2;"39.375868,22.942026";"39.375984,22.942115";Παρασκευοπούλου;Παρασκευοπούλου;PASS;Volos
3;"39.362785,22.951319";"39.362675,22.951218";Ανθίμου Γαζή;Ανθίμου Γαζή;PASS;Volos
4;"39.363605,22.923755";"39.363674,22.923905";Αναγνωστοπούλου;Αναγνωστόπουλου;PASS;Volos
5;"39.364002,22.938442";"39.363933,22.938291";Παπαδιαμάντη;Παπαδιαμάντη;PASS;Volos
6;"39.375825,22.951315";"39.375946,22.951239";Ζάχου;Αριστείδου Ζάχου;PASS;Volos
7;"39.371231,22.934307";"39.371298,22.934458";Αποστόλου Βολίδη;Αποστόλου Βολίδη;PASS;Volos
8;"39.35898,22.962535";"39.359113,22.962504";Αγ.Δημητρίου;Αγ.Δημητρίου;PASS;Volos
9;"39.36154,22.948609";"39.361621,22.94847";Τοπάλη;Τοπάλη;PASS;Volos
10;"39.361857,22.929282";"39.361977,22.929364";Νοταρά;Νοταρά;PASS;Volos
11;"39.362866,22.957222";"39.362947,22.957082";Ι. Καρτάλη;Ι. Καρτάλη;PASS;Volos
12;"39.375263,22.929898";"39.375196,22.929747";Φιλαδέλφειας;Φιλαδέλφειας;PASS;Volos
13;"39.359057,22.965152";"39.359176,22.965068";Ηφαίστου;Ηφαίστου;PASS;Volos
14;"39.375793,22.955281";"39.375904,22.95518";Αρ Ζάχου;UNKNOWN;FAIL;Volos
15;"39.370437,22.959079";"39.370356,22.95894";Μπασδέκη;Μπασδέκη;PASS;Volos
16;"39.369301,22.924323";"39.369221,22.924183";Οικονόμου;Οικονόμου;PASS;Volos
17;"39.362614,22.932618";"39.362681,22.93277";Λαχανά;Λαχανά;PASS;Volos
18;"39.370822,22.923156";"39.370795,22.923327";Σύρου;Σύρου;PASS;Volos
19;"39.357233,22.957526";"39.357347,22.957618";Γαλλίας;Γαλλίας;PASS;Volos
20;"39.369483,22.930124";"39.369456,22.930295";Οικονόμου;Οικονόμου;PASS;Volos
21;"39.368907,22.939792";"39.368842,22.93964";Αριστοτέλους;Αριστοτέλους;PASS;Volos
22;"39.364286,22.946161";"39.364402,22.946248";Ανθίμου Γαζή;Ανθίμου Γαζή;PASS;Volos
23;"39.363113,22.93329";"39.363236,22.933219";Δοιράνης;UNKNOWN;FAIL;Volos
24;"39.346903,22.926027";"39.346917,22.9262";Παρμενίδου;Παρμενίδου;PASS;Volos
25;"39.36505,22.964926";"39.364916,22.96491";Έλλης Λαμπέτη;Έλλης Λαμπέτη;PASS;Volos
26;"39.369357,22.924878";"39.369264,22.924753";Οικονόμου;Οικονόμου;PASS;Volos
27;"39.365552,22.936995";"39.365679,22.936935";Γάτσου;Ν. Γάτσου;PASS;Volos
28;"39.371028,22.941132";"39.370967,22.940976";Ρήγα Φεραίου;Ρήγα Φεραίου;PASS;Volos
29;"39.369169,22.952793";"39.369174,22.952622";Κουταρέλια;Κουταρέλια;PASS;Volos
30;"39.370254,22.933783";"39.370136,22.933868";Καραμπατζάκη;Καραμπατζάκη;PASS;Volos
31;"39.367803,22.943359";"39.367913,22.943462";Ρήγα Φεραίου;Ρήγα Φεραίου;PASS;Volos
32;"39.363132,22.927559";"39.363197,22.927406";Χατζημιχάλη;Χατζημιχάλη;PASS;Volos
33;"39.371651,22.960052";"39.371784,22.960024";Κρήτης;Κρήτης;PASS;Volos
34;"39.359252,22.965518";"39.359385,22.96549";Ηφαίστου;Ηφαίστου;PASS;Volos
35;"39.354122,22.959913";"39.354209,22.960046";Πολυμέρη;Πολυμέρη;PASS;Volos
36;"39.370651,22.945375";"39.370758,22.945481";Αχιλλόπουλου;Αχιλλοπούλου;PASS;Volos
37;"39.376444,22.937919";"39.376566,22.937843";Τραλλέων;Τραλλέων;PASS;Volos
38;"39.363938,22.952366";"39.363828,22.952266";Ρήγα Φεραίου;Ρήγα Φεραίου;PASS;Volos
39;"39.352225,22.959236";"39.352311,22.959371";Τσοποτού;Τσοποτού;PASS;Volos
40;"39.347094,22.925752";"39.347229,22.925742";Κερύνειας;Κερύνειας;PASS;Volos
41;"39.374071,22.924807";"39.373943,22.924864";Ιασωνίδη;Ιασωνίδου;PASS;Volos
42;"39.357917,22.954087";"39.358031,22.954181";28ης Οκτωβρίου;28ης Οκτωβρίου;PASS;Volos
43;"39.37254,22.937946";"39.372673,22.937918";Δημόπουλου;Αλ. Δημόπουλου;PASS;Volos
44;"39.367579,22.936706";"39.367513,22.936553";Θρακών;Θρακών;PASS;Volos
45;"39.358636,22.955425";"39.35852,22.955335";28ης Οκτωβρίου;28ης Οκτωβρίου;PASS;Volos
46;"39.37178,22.959343";"39.371669,22.959441";Τέντζερη;ΓΙάννη Τέντζερη;PASS;Volos
47;"39.362774,22.950563";"39.362883,22.950664";Κωνσταντά;Κωνσταντά;PASS;Volos
48;"39.372262,22.945977";"39.372382,22.945898";Σολωμού;Διονυσίου Σολωμού;PASS;Volos
49;"39.3705,22.963445";"39.370394,22.963337";Θεοφάνους Κρητός;Θεοφάνους Κρητός;PASS;Volos
50;"39.364293,22.928405";"39.364361,22.928254";Χατζημιχάλη;Χατζημιχάλη;PASS;Volos
