BinCenterDegrees;Athens;Thessaloniki;Patras;Heraklion;Larissa;Volos
0;0.020394;0.035494;0.027890;0.041515;0.048340;0.014626
10;0.040945;0.022944;0.040025;0.032604;0.025175;0.009507
20;0.035459;0.022984;0.039257;0.018941;0.028062;0.011917
30;0.030859;0.037646;0.051275;0.014403;0.042381;0.036788
40;0.027957;0.034257;0.030693;0.013482;0.017216;0.037671
50;0.046206;0.020256;0.027724;0.017118;0.015584;0.038828
60;0.027480;0.015236;0.016911;0.024861;0.030831;0.046393
70;0.017216;0.019961;0.012043;0.041177;0.028611;0.028847
80;0.010917;0.023887;0.014422;0.043993;0.028629;0.019731
90;0.022147;0.037365;0.029504;0.040166;0.040688;0.016392
100;0.047039;0.020689;0.030919;0.026268;0.024990;0.012631
110;0.036882;0.027628;0.046593;0.019779;0.019929;0.011888
120;0.027712;0.045894;0.047631;0.019732;0.038236;0.035359
130;0.023246;0.042911;0.027608;0.018574;0.016224;0.037916
140;0.035493;0.025737;0.023641;0.020326;0.013803;0.034090
150;0.024576;0.019739;0.010485;0.027606;0.033036;0.053365
160;0.013967;0.024400;0.009817;0.039322;0.021767;0.025076
170;0.011505;0.022973;0.013562;0.040135;0.026500;0.028972
180;0.020394;0.035494;0.027890;0.041515;0.048340;0.014626
190;0.040945;0.022944;0.040025;0.032604;0.025175;0.009507
200;0.035459;0.022984;0.039257;0.018941;0.028062;0.011917
210;0.030859;0.037646;0.051275;0.014403;0.042381;0.036788
220;0.027957;0.034257;0.030693;0.013482;0.017216;0.037671
230;0.046206;0.020256;0.027724;0.017118;0.015584;0.038828
240;0.027480;0.015236;0.016911;0.024861;0.030831;0.046393
250;0.017216;0.019961;0.012043;0.041177;0.028611;0.028847
260;0.010917;0.023887;0.014422;0.043993;0.028629;0.019731
270;0.022147;0.037365;0.029504;0.040166;0.040688;0.016392
280;0.047039;0.020689;0.030919;0.026268;0.024990;0.012631
290;0.036882;0.027628;0.046593;0.019779;0.019929;0.011888
300;0.027712;0.045894;0.047631;0.019732;0.038236;0.035359
310;0.023246;0.042911;0.027608;0.018574;0.016224;0.037916
320;0.035493;0.025737;0.023641;0.020326;0.013803;0.034090
330;0.024576;0.019739;0.010485;0.027606;0.033036;0.053365
340;0.013967;0.024400;0.009817;0.039322;0.021767;0.025076
350;0.011505;0.022973;0.013562;0.040135;0.026500;0.028972
