# local window radius: 500 m
Row;City;Result;LocalEntropy;LocalOrientationOrder;LocalSegments;MeanSegmentLengthM
1;Athens;PASS;2.8824;0.5364;789;26.4
2;Athens;PASS;2.7335;0.6241;852;31.5
3;Athens;PASS;2.5853;0.7022;636;36.8
4;Athens;PASS;2.9334;0.5042;1031;27.5
5;Athens;FAIL;2.9956;0.4635;442;33.7
6;Athens;PASS;3.0982;0.3930;662;29.7
7;Athens;PASS;2.8477;0.5576;621;36.1
8;Athens;PASS;3.0510;0.4260;773;30.8
9;Athens;PASS;2.7570;0.6108;230;37.6
10;Athens;PASS;2.9739;0.4779;774;24.7
11;Athens;PASS;3.2997;0.2417;500;28.0
12;Athens;PASS;3.2517;0.2792;637;31.7
13;Athens;FAIL;3.1733;0.3385;870;30.8
14;Athens;PASS;3.0164;0.4496;681;32.9
15;Athens;PASS;2.4577;0.7622;897;25.6
16;Athens;PASS;3.0845;0.4026;591;39.4
17;Athens;PASS;3.3101;0.2334;826;30.5
18;Athens;PASS;2.4538;0.7640;564;38.3
19;Athens;PASS;3.3335;0.2146;760;33.7
20;Athens;PASS;2.8809;0.5373;258;29.8
21;Athens;PASS;2.7258;0.6283;841;30.5
22;Athens;PASS;2.7133;0.6353;830;31.2
23;Athens;PASS;3.2235;0.3009;908;24.7
24;Athens;PASS;2.0345;0.9130;730;24.9
25;Athens;FAIL;2.4345;0.7724;677;35.9
26;Athens;PASS;3.0635;0.4173;639;33.1
27;Athens;FAIL;3.1349;0.3667;636;26.4
28;Athens;PASS;3.1636;0.3457;629;33.7
29;Athens;PASS;2.8559;0.5526;495;34.8
30;Athens;PASS;2.4300;0.7744;680;35.5
31;Athens;PASS;3.1021;0.3902;494;37.5
32;Athens;PASS;2.9740;0.4778;857;31.8
33;Athens;PASS;2.1259;0.8867;587;39.4
34;Athens;PASS;2.9665;0.4828;662;22.1
35;Athens;PASS;2.7615;0.6083;864;30.5
36;Athens;PASS;2.4745;0.7547;706;23.7
37;Athens;PASS;2.8262;0.5705;880;28.2
38;Athens;PASS;3.2915;0.2481;546;18.6
39;Athens;PASS;2.1337;0.8843;561;39.7
40;Athens;PASS;2.9486;0.4944;640;32.4
41;Athens;PASS;2.8261;0.5706;736;33.5
42;Athens;PASS;2.7149;0.6343;695;33.4
43;Athens;PASS;2.9851;0.4705;562;26.8
44;Athens;PASS;2.8341;0.5658;645;36.0
45;Athens;PASS;2.7146;0.6345;705;22.4
46;Athens;PASS;3.4503;0.1176;771;32.4
47;Athens;PASS;2.6375;0.6757;658;24.8
48;Athens;PASS;2.9875;0.4689;750;25.8
49;Athens;PASS;3.1938;0.3233;929;28.3
50;Athens;PASS;2.9744;0.4776;861;28.3
51;Athens;PASS;2.1512;0.8788;774;28.4
52;Athens;PASS;2.8450;0.5593;494;38.4
53;Athens;PASS;3.4748;0.0965;881;22.8
54;Athens;PASS;3.3060;0.2366;698;35.4
55;Athens;PASS;2.9273;0.5081;508;37.8
56;Athens;PASS;2.5338;0.7272;631;29.6
57;Athens;PASS;3.1537;0.3530;798;29.3
58;Athens;PASS;2.7470;0.6165;561;35.9
59;Athens;PASS;2.3236;0.8180;588;39.1
60;Athens;PASS;2.4813;0.7516;559;36.6
61;Athens;PASS;3.2570;0.2751;717;35.1
62;Athens;PASS;3.2145;0.3077;858;29.2
63;Athens;PASS;3.0923;0.3971;663;29.0
64;Athens;PASS;2.8299;0.5683;306;40.0
65;Athens;PASS;3.0733;0.4105;264;33.9
66;Athens;PASS;2.8653;0.5469;879;27.1
67;Athens;FAIL;2.8154;0.5769;730;33.0
68;Athens;PASS;2.9005;0.5251;486;36.2
69;Athens;FAIL;2.5658;0.7118;596;30.4
70;Athens;PASS;3.0989;0.3925;641;34.6
71;Athens;PASS;2.7945;0.5893;849;30.3
72;Athens;FAIL;3.3380;0.2110;754;28.7
73;Athens;PASS;3.1632;0.3460;771;31.9
74;Athens;PASS;2.9755;0.4769;419;35.4
75;Athens;PASS;2.5773;0.7062;640;37.9
76;Athens;PASS;3.1376;0.3647;745;28.8
77;Athens;PASS;3.4971;0.0771;843;31.1
78;Athens;PASS;3.3151;0.2294;683;31.2
79;Athens;PASS;2.4355;0.7720;708;25.2
80;Athens;PASS;3.1335;0.3677;805;25.6
81;Athens;PASS;3.3343;0.2139;531;28.1
82;Athens;PASS;2.7103;0.6369;866;25.4
83;Athens;PASS;3.4491;0.1186;872;21.9
84;Athens;PASS;2.8717;0.5430;529;39.0
85;Athens;PASS;2.7964;0.5881;282;33.3
86;Athens;PASS;2.8209;0.5737;737;30.5
87;Athens;PASS;2.6158;0.6869;851;25.8
88;Athens;PASS;3.1076;0.3863;839;26.8
89;Athens;PASS;3.2232;0.3011;635;29.5
90;Athens;PASS;2.0410;0.9112;608;33.2
91;Athens;PASS;3.2792;0.2578;828;28.0
92;Athens;PASS;3.3190;0.2263;538;19.2
93;Athens;PASS;2.9619;0.4858;511;34.0
94;Athens;PASS;3.0165;0.4496;1082;26.3
95;Athens;PASS;2.5195;0.7340;678;30.4
96;Athens;PASS;2.8316;0.5673;511;30.9
97;Athens;FAIL;3.4910;0.0824;857;31.1
98;Athens;PASS;3.1667;0.3434;857;30.9
99;Athens;PASS;3.2798;0.2574;792;32.1
100;Athens;PASS;3.3271;0.2198;851;30.6
101;Athens;PASS;3.0218;0.4459;1028;23.8
102;Athens;PASS;2.9522;0.4921;671;29.2
103;Athens;PASS;3.1610;0.3476;709;32.7
104;Athens;PASS;3.3309;0.2167;806;31.8
105;Athens;PASS;3.1056;0.3877;995;29.2
106;Athens;PASS;2.5164;0.7355;621;37.8
107;Athens;PASS;3.3336;0.2146;654;21.0
108;Athens;FAIL;2.5918;0.6990;629;28.2
109;Athens;PASS;2.7779;0.5989;727;23.2
110;Athens;PASS;3.3933;0.1657;640;30.0
111;Athens;PASS;3.2435;0.2855;528;28.2
112;Athens;PASS;2.7911;0.5912;861;26.8
113;Athens;PASS;2.8802;0.5377;702;29.3
114;Athens;PASS;2.8361;0.5646;857;31.8
115;Athens;PASS;3.0022;0.4591;812;30.7
116;Athens;PASS;3.1416;0.3618;746;32.1
117;Athens;PASS;2.9034;0.5233;831;25.5
118;Athens;PASS;2.7204;0.6314;713;32.4
119;Athens;PASS;2.4526;0.7645;881;22.6
120;Athens;PASS;3.3011;0.2405;746;25.8
121;Athens;PASS;3.4423;0.1244;737;28.1
122;Athens;PASS;2.9101;0.5191;629;37.0
123;Athens;PASS;2.9236;0.5105;687;32.2
124;Athens;PASS;2.7269;0.6277;700;33.8
125;Athens;PASS;2.9049;0.5223;856;28.8
126;Athens;PASS;3.4208;0.1427;897;30.1
127;Athens;PASS;2.5058;0.7404;677;25.1
128;Athens;PASS;3.1845;0.3302;893;27.6
129;Athens;PASS;2.7468;0.6166;647;37.0
130;Athens;PASS;3.1192;0.3780;794;27.6
131;Athens;PASS;2.9741;0.4778;774;29.0
132;Athens;PASS;3.0198;0.4473;681;32.9
133;Athens;PASS;3.4315;0.1336;875;24.9
134;Athens;PASS;2.4809;0.7518;617;36.1
135;Athens;PASS;3.2682;0.2664;543;17.9
136;Athens;PASS;2.0491;0.9090;729;29.4
137;Athens;PASS;3.2578;0.2745;789;30.3
138;Athens;PASS;3.2279;0.2975;665;32.3
139;Athens;PASS;2.5561;0.7165;560;38.6
140;Athens;PASS;3.3999;0.1602;939;27.7
141;Athens;PASS;2.9718;0.4793;775;33.5
142;Athens;PASS;3.0320;0.4390;724;34.4
143;Athens;PASS;3.0477;0.4282;738;29.0
144;Athens;PASS;2.4349;0.7723;612;32.6
145;Athens;PASS;2.3876;0.7923;560;35.4
146;Athens;PASS;2.4408;0.7697;603;32.4
147;Athens;PASS;3.2508;0.2800;417;20.7
148;Athens;PASS;2.7644;0.6066;530;31.4
149;Athens;PASS;3.0957;0.3947;387;32.5
150;Athens;PASS;2.7819;0.5966;624;36.1
151;Thessaloniki;PASS;3.1540;0.3527;1044;21.0
152;Thessaloniki;PASS;2.9957;0.4635;1169;16.8
153;Thessaloniki;PASS;3.1597;0.3486;784;23.7
154;Thessaloniki;PASS;3.4852;0.0875;2042;8.1
155;Thessaloniki;PASS;3.3798;0.1768;1946;9.8
156;Thessaloniki;PASS;3.5048;0.0704;1809;7.6
157;Thessaloniki;PASS;3.3874;0.1706;1284;17.3
158;Thessaloniki;PASS;3.1712;0.3401;813;26.6
159;Thessaloniki;PASS;3.4821;0.0902;1390;17.0
160;Thessaloniki;PASS;3.0659;0.4157;798;26.9
161;Thessaloniki;PASS;3.5038;0.0713;3291;7.3
162;Thessaloniki;PASS;3.3018;0.2400;1559;15.3
163;Thessaloniki;PASS;3.2818;0.2558;767;24.7
164;Thessaloniki;PASS;2.4371;0.7713;481;20.4
165;Thessaloniki;PASS;3.2310;0.2951;1971;11.1
166;Thessaloniki;PASS;3.4209;0.1426;893;26.5
167;Thessaloniki;PASS;3.3752;0.1807;1023;22.1
168;Thessaloniki;PASS;3.2704;0.2647;1538;13.0
169;Thessaloniki;PASS;3.3530;0.1988;871;25.2
170;Thessaloniki;PASS;3.3995;0.1605;1337;16.7
171;Thessaloniki;PASS;3.0748;0.4094;732;17.5
172;Thessaloniki;PASS;3.4690;0.1015;1799;14.3
173;Thessaloniki;PASS;3.4338;0.1316;1131;11.5
174;Thessaloniki;PASS;3.2451;0.2843;1588;15.3
175;Thessaloniki;PASS;3.1762;0.3364;677;29.4
176;Thessaloniki;PASS;3.4339;0.1316;995;19.2
177;Thessaloniki;PASS;3.2972;0.2436;812;24.8
178;Thessaloniki;PASS;3.4511;0.1169;2670;9.0
179;Thessaloniki;PASS;3.0326;0.4386;1272;16.0
180;Thessaloniki;PASS;3.2031;0.3163;1308;19.5
181;Thessaloniki;PASS;3.0178;0.4486;1239;17.3
182;Thessaloniki;PASS;3.5276;0.0502;3076;7.6
183;Thessaloniki;PASS;3.4247;0.1393;1241;17.6
184;Thessaloniki;FAIL;3.5012;0.0735;3230;7.0
185;Thessaloniki;PASS;3.0896;0.3990;583;32.3
186;Thessaloniki;PASS;3.4524;0.1158;1800;14.5
187;Thessaloniki;FAIL;3.0120;0.4526;435;31.9
188;Thessaloniki;PASS;3.2086;0.3121;1548;12.7
189;Thessaloniki;PASS;3.2728;0.2628;737;28.4
190;Thessaloniki;PASS;3.4275;0.1370;1961;14.2
191;Thessaloniki;PASS;3.4302;0.1347;1821;12.9
192;Thessaloniki;PASS;3.2098;0.3113;1016;23.3
193;Thessaloniki;PASS;2.9334;0.5042;441;32.2
194;Thessaloniki;PASS;3.1123;0.3829;694;27.8
195;Thessaloniki;PASS;3.3543;0.1978;1409;19.9
196;Thessaloniki;PASS;2.9913;0.4664;1195;17.1
197;Thessaloniki;PASS;3.0351;0.4369;678;19.6
198;Thessaloniki;PASS;2.7707;0.6030;965;19.0
199;Thessaloniki;PASS;2.8827;0.5362;452;28.6
200;Thessaloniki;PASS;3.4711;0.0997;1885;13.3
201;Thessaloniki;PASS;3.3298;0.2176;1102;13.3
202;Thessaloniki;PASS;3.3654;0.1887;1255;10.7
